"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R2,R3,R10,R9,R7,R1";"R_0603_1608Metric";6;"10 K";;;
2;"Q2,Q3";"SOT-23";2;"BC817";;;
3;"R13";"R_0603_1608Metric";1;"10K";;;
4;"U3";"ESP32-C3-WROOM-02-N4";1;"IC18_ESP32-C3-WROOM-02-N4_EXP";;;
5;"C18,C19";"C_0805_2012Metric";2;"10uF";;;
6;"R4";"R_0603_1608Metric";1;"4.7 K";;;
7;"U5";"SOT-23";1;"MCP1700-3302E_SOT23";;;
8;"D6";"LED_0805_2012Metric";1;"GRE";;;
9;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"DS3231MZ";;;
10;"U4";"TP4057-42-SOT26-R";1;"TP4057-42-SOT26-R";;;
11;"Q4";"SOT-23";1;"Si2301CDS";;;
12;"J3";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Programming";;;
13;"C16";"CP_EIA-3528-21_Kemet-B";1;"C_Polarized 100uF";;;
14;"J2";"FH34SRJ-6S-0.5SH50-Hirose";1;"FH34SRJ-6S-0.5SH_50_";;;
15;"R6,R5";"R_0603_1608Metric";2;"4.7K";;;
16;"J1";"FH5210S05SH99_LCD";1;"FH52-10S-0.5SH_99";;;
17;"R11";"R_0805_2012Metric";1;"2K2";;;
18;"R12";"R_0603_1608Metric";1;"5K";;;
19;"D5";"D_SOD-323";1;"1N5817";;;
20;"SW4";"Alps_SKRK";1;"BUTTON3";;;
