"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2,C7,C9,C10,C1,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"4.7uF";;;
2;"U1";"ESP32-C3-WROOM-02-N4";1;"ESP32-C3-WROOM-02-N4";;;
3;"Q2,Q3";"SOT-23";2;"BC817";;;
4;"C8,C4,C6,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
5;"J2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Programming";;;
6;"U3";"SOT-23";1;"MCP1700-3302E_SOT23";;;
7;"C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7uF 50V";;;
8;"R3";"R_0603_1608Metric";1;"3R";;;
9;"R2,R5,R10,R4";"R_0603_1608Metric";4;"10 K";;;
10;"H3";"MountingHole_3.2mm_M3";1;"MountingSwitch";;;
11;"C14,C15";"C_0805_2012Metric";2;"10uF";;;
12;"J1";"AFC24-S24FIC-00";1;"AFC24-S24FIC-00";;;
13;"R7,R6";"R_0603_1608Metric";2;"5.1K";;;
14;"D1,D3,D2";"D_SOD-123";3;"MBR0530";;;
15;"C13";"C_0805_2012Metric";1;"100 nF";;;
16;"C16";"CP_EIA-3528-21_Kemet-B";1;"C_Polarized 100uF";;;
17;"R1";"R_0603_1608Metric";1;"10K";;;
18;"J4";"FH34SRJ-6S-0.5SH50-Hirose";1;"Conn_01x06_Female";;;
19;"R9,R8";"R_0603_1608Metric";2;"4.7K";;;
20;"U2";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2102N-Axx-xQFN24";;;
21;"Q1";"SOT-323_SC-70";1;"Si1308";;;
22;"C12";"C_0603_1608Metric";1;"4.7uF";;;
23;"L1";"SWPA4030S1R0NT";1;"10uH";;;
